m_ticker,ticker,comp_name,comp_name_2,exchange,currency_code,ticker_type,active_ticker_flag,comp_url,sic_4_code,sic_4_desc,zacks_x_ind_code,zacks_x_ind_desc,zacks_x_sector_code,zacks_x_sector_desc,zacks_m_ind_code,zacks_m_ind_desc,per_end_month_nbr,mr_split_date,mr_split_factor,comp_cik,country_code,country_name,comp_type,optionable_flag,sp500_member_flag,asset_type
SRV2,SRV,CUSHING MLP TRF,The Cushing MLP Total Return Fund,NYSE,,S,Y,,,,,,,,,,11,,,,,,,,,
SRVY,SRVY,GREENFLD ONLINE,GREENFLD ONLINE,,,,N,,,,,,,,,,12,,,,,,,,,
SRW,SRW,SMITH CHARLES E,SMITH CHARLES E,,,,N,,,,,,,,,,12,,,,,,,,,
SRX,SRX,SRA INTL -CL A,SRA INTL -CL A,TSXV,,,N,,,,,,,,,,6,,,,,,,,,
SRXA,SRXHF,SRX POST HLDGS,SRX POST HLDGS,,,,N,,,,,,,,,,12,,,,,,,,,
SRYB,SRYB,SURREY BANCORP,Surrey Bancorp,OTC,USD,S,Y,http://www.surreybank.com,6022,State commercial banks,16,BANKS-SOUTHEAST,13,Finance,47,BANKS & THRIFTS,12,2011-12-07,1.1,0001229146,US,UNITED STATES,2,N,N,COM
SRM&,SRYI,SWISSRAY INTL,SWISSRAY INTL,,,,N,,,,,,,,,,6,,,,,,,,,
#LOA,SRYPQ,SURETY CAPITAL,SURETY CAPITAL,,,,N,,,,,,,,,,12,,,,,,,,,
SNRZ,SRZ,SUNRISE SENIOR,SUNRISE SENIOR,NYSE,,,N,,,,,,,,,,12,,,,,,,,,
SSA,SSA,SAATCHI &SA-ADR,SAATCHI &SA-ADR,,,,N,,,,,,,,,,12,,,,,,,,,
SSAA,SSAAY,SSAB SVENSKT,SSAB SVENSKT,OTC,USD,S,Y,http://www.ssab.com,3310,"Steel works, blast furnaces, & rolling & finishing mills",176,STEEL-PRODUCERS,6,Basic Materials,21,STEEL,12,,,,SE,SWEDEN,1,N,N,COM
SSAG,SSAG,SSA GLOBAL TECH,SSA GLOBAL TECH,,,,N,,,,,,,,,,7,,,,,,,,,
SSAM,SSAM,ROCKLG-SECTORSM,ROCKLG-SECTORSM,ARCA,,,N,,,,,,,,,,12,,,,,,,,,
SSAV,SSAV,SHORELINE SVG,SHORELINE SVG,,,,N,,,,,,,,,,6,,,,,,,,,
SSAX,SSAXQ,SYS SOFTWARE,SYS SOFTWARE,,,,N,,,,,,,,,,10,,,,,,,,,
FNC2,SSB,SOUTH STATE CP,South State Corporation,NSDQ,USD,S,Y,http://www.scbtonline.com,6022,State commercial banks,16,BANKS-SOUTHEAST,13,Finance,47,BANKS & THRIFTS,12,2007-03-07,1.05,0000764038,US,UNITED STATES,2,Y,N,COM
SSBC,SSBC,SHELTON BANCORP,SHELTON BANCORP,,,,N,,,,,,,,,,6,,,,,,,,,
SSB&,SSBG,SOUTHN STARR,SOUTHN STARR,,,,N,,,,,,,,,,3,,,,,,,,,
SSBI,SSBI,SUMMIT STATE BK,Summit State Bank,NSDQ,USD,S,Y,http://www.summitstatebank.com,6029,"Commercial banks, not elsewhere classified",18,BANKS-WEST,13,Finance,47,BANKS & THRIFTS,12,2017-03-15,1.25,,US,UNITED STATES,2,N,N,COM
SSBX,SSBXQ,SILVER STATE BC,Silver State Bancorp,OTC,,,N,,,,,,,,,,12,,,,,,,,,
SSCC,SSCC,SMURFIT-STN NEW,SMURFIT-STN NEW,,,,N,,,,,,,,,,12,,,,,,,,,
JJSC,SSCCQ,SMURFIT-STN OLD,SMURFIT-STN OLD,,,,N,,,,,,,,,,12,,,,,,,,,
